strain,stress
0.0,0.0
9.375000081490725e-05,1164.000067859888
0.0001875000016298145,2321.410182863474
0.00028124998789280653,3465.3636515140533
0.000375000003259629,4592.169538140297
0.00046874998952262104,5699.1109903901815
0.0005624999757856131,6784.118950366974
0.0006562499911524355,7845.612969249487
0.000750000006519258,8882.400285452604
0.0008437500218860805,9893.610030412674
0.0009374999790452421,10878.639623522758
0.0010312499944120646,11837.118312716484
0.0011249999515712261,12768.868558108807
0.0012187500251457095,13673.881590366364
0.001312499982304871,14552.2900223732
0.0014062500558793545,15404.349565505981
0.001500000013038516,16230.415232479572
0.0014062500558793545,15216.014251112938
0.001312499982304871,14201.613552868366
0.0012187500251457095,13187.212765216827
0.0011249999515712261,12172.81161993742
0.0010312499944120646,11158.410750329494
0.0009374999790452421,10144.009564071894
0.0008437500218860805,9129.608817398548
0.000750000006519258,8115.2077578008175
0.0006562499911524355,7100.806776434183
0.0005624999757856131,6086.40580996871
0.00046874998952262104,5072.004782035947
0.000375000003259629,4057.6038789004087
0.00028124998789280653,3043.202904984355
0.0001875000016298145,2028.8019394502044
9.375000081490725e-05,1014.4009697251022
-1.2468324983583301e-18,-1.5120490550716334e-11
-9.375000081490725e-05,-1163.9756876975298
-0.0001875000016298145,-2328.000135719776
-0.00028124998789280653,-3492.0001327991486
-0.000375000003259629,-4656.000271439552
-0.00046874998952262104,-5820.000268518925
-0.0005624999757856131,-6984.000265598297
-0.0006562499911524355,-8148.000482469797
-0.000750000006519258,-9312.000542879105
-0.0008437500218860805,-10476.000431925058
-0.0009374999790452421,-11640.00053703785
-0.0010312499944120646,-12804.000489413738
-0.0011249999515712261,-13968.000531196594
-0.0012187500251457095,-15132.000520825386
-0.001312499982304871,-16296.000964939594
-0.0014062500558793545,-17460.001036524773
-0.001500000013038516,-18624.00108575821
-0.0014062500558793545,-17460.001036524773
-0.001312499982304871,-16296.000964939594
-0.0012187500251457095,-15132.000520825386
-0.0011249999515712261,-13968.000531196594
-0.0010312499944120646,-12804.000489413738
-0.0009374999790452421,-11640.00053703785
-0.0008437500218860805,-10476.000431925058
-0.000750000006519258,-9312.000542879105
-0.0006562499911524355,-8148.000482469797
-0.0005624999757856131,-6984.000265598297
-0.00046874998952262104,-5820.000268518925
-0.000375000003259629,-4656.000271439552
-0.00028124998789280653,-3492.0001327991486
-0.0001875000016298145,-2328.000135719776
-9.375000081490725e-05,-1164.000067859888
-6.667843360785852e-18,-8.219941353198764e-11
0.0001875000016298145,2028.8019394502044
0.000375000003259629,4057.6038789004087
0.0005624999757856131,6086.40580996871
0.000750000006519258,8115.2077578008175
0.0009374999790452421,10144.009564071894
0.0011249999515712261,12172.81161993742
0.001312499982304871,14201.613552868366
0.001500000013038516,16230.415515601635
0.001687500043772161,17806.39137327671
0.0018749999580904841,19284.56974774599
0.002062499988824129,20669.968344271183
0.0022499999031424522,21968.11657398939
0.002437500050291419,23184.745579957962
0.002624999964609742,24325.633391737938
0.002812500111758709,25396.479070186615
0.003000000026077032,26402.810215950012
